date,5. volume,4. close,2. high,1. open,3. low
2008-08-22,3039.0,15.0,17.5,17.5,15.0
2008-08-25,0.0,15.0,17.5,17.5,15.0
2008-08-26,0.0,15.0,17.5,17.5,15.0
2008-08-27,0.0,15.0,17.5,17.5,15.0
2008-08-28,0.0,15.0,17.5,17.5,15.0
2008-08-29,0.0,15.0,17.5,17.5,15.0
2008-09-02,0.0,15.0,17.5,17.5,15.0
2008-09-03,0.0,15.0,17.5,17.5,15.0
2008-09-04,0.0,15.0,17.5,17.5,15.0
2008-09-05,0.0,15.0,17.5,17.5,15.0
2008-09-08,0.0,15.0,17.5,17.5,15.0
2008-09-09,0.0,15.0,17.5,17.5,15.0
2008-09-10,0.0,15.0,17.5,17.5,15.0
2008-09-11,0.0,15.0,17.5,17.5,15.0
2008-09-12,0.0,15.0,17.5,17.5,15.0
2008-09-15,0.0,15.0,17.5,17.5,15.0
2008-09-16,0.0,15.0,17.5,17.5,15.0
2008-09-17,0.0,15.0,17.5,17.5,15.0
2008-09-18,0.0,15.0,17.5,17.5,15.0
2008-09-19,0.0,15.0,17.5,17.5,15.0
2008-09-22,0.0,15.0,17.5,17.5,15.0
2008-09-23,0.0,15.0,17.5,17.5,15.0
2008-09-24,0.0,15.0,17.5,17.5,15.0
2008-09-25,0.0,15.0,17.5,17.5,15.0
2008-09-26,0.0,15.0,17.5,17.5,15.0
2008-09-29,0.0,15.0,17.5,17.5,15.0
2008-09-30,0.0,15.0,17.5,17.5,15.0
2008-10-01,0.0,15.0,17.5,17.5,15.0
2008-10-02,0.0,15.0,17.5,17.5,15.0
2008-10-03,0.0,15.0,17.5,17.5,15.0
2008-10-06,0.0,15.0,17.5,17.5,15.0
2008-10-07,0.0,15.0,17.5,17.5,15.0
2008-10-08,0.0,15.0,17.5,17.5,15.0
2008-10-09,0.0,15.0,17.5,17.5,15.0
2008-10-10,0.0,15.0,17.5,17.5,15.0
2008-10-13,0.0,15.0,17.5,17.5,15.0
