date,5. volume,4. close,2. high,1. open,3. low
2005-03-15,500.0,0.05,0.05,0.05,0.05
2005-03-16,0.0,0.05,0.05,0.05,0.05
2005-03-17,0.0,0.05,0.05,0.05,0.05
2005-03-18,0.0,0.05,0.05,0.05,0.05
2005-03-21,0.0,0.05,0.05,0.05,0.05
2005-03-22,0.0,0.05,0.05,0.05,0.05
2005-03-23,0.0,0.05,0.05,0.05,0.05
2005-03-24,100.0,0.05,0.05,0.05,0.05
2005-03-28,0.0,0.05,0.05,0.05,0.05
2005-03-29,0.0,0.05,0.05,0.05,0.05
2005-03-30,0.0,0.05,0.05,0.05,0.05
2005-03-31,100.0,0.1,0.1,0.1,0.1
2005-04-01,2000.0,0.05,0.05,0.05,0.05
2005-04-04,0.0,0.05,0.05,0.05,0.05
2005-04-05,0.0,0.05,0.05,0.05,0.05
2005-04-06,0.0,0.05,0.05,0.05,0.05
2005-04-07,0.0,0.05,0.05,0.05,0.05
2005-04-08,0.0,0.05,0.05,0.05,0.05
2005-04-11,0.0,0.05,0.05,0.05,0.05
2005-04-12,0.0,0.05,0.05,0.05,0.05
2005-04-13,0.0,0.05,0.05,0.05,0.05
2005-04-14,0.0,0.05,0.05,0.05,0.05
2005-04-15,0.0,0.05,0.05,0.05,0.05
2005-04-18,0.0,0.05,0.05,0.05,0.05
2005-04-19,0.0,0.05,0.05,0.05,0.05
2005-04-20,0.0,0.05,0.05,0.05,0.05
2005-04-21,0.0,0.05,0.05,0.05,0.05
2005-04-22,0.0,0.05,0.05,0.05,0.05
2005-04-25,0.0,0.05,0.05,0.05,0.05
2005-04-26,0.0,0.05,0.05,0.05,0.05
2005-04-27,0.0,0.05,0.05,0.05,0.05
2005-04-28,0.0,0.05,0.05,0.05,0.05
2005-04-29,100.0,0.07,0.07,0.07,0.07
2005-05-02,0.0,0.07,0.07,0.07,0.07
2005-05-03,0.0,0.07,0.07,0.07,0.07
2005-05-04,0.0,0.07,0.07,0.07,0.07
2005-05-05,0.0,0.07,0.07,0.07,0.07
2005-05-06,0.0,0.07,0.07,0.07,0.07
2005-05-09,0.0,0.07,0.07,0.07,0.07
2005-05-10,0.0,0.07,0.07,0.07,0.07
2005-05-11,0.0,0.07,0.07,0.07,0.07
2005-05-12,0.0,0.07,0.07,0.07,0.07
2005-05-13,0.0,0.07,0.07,0.07,0.07
2005-05-16,0.0,0.07,0.07,0.07,0.07
2005-05-17,0.0,0.07,0.07,0.07,0.07
2005-05-18,0.0,0.07,0.07,0.07,0.07
2005-05-19,0.0,0.07,0.07,0.07,0.07
2005-05-20,0.0,0.07,0.07,0.07,0.07
2005-05-23,0.0,0.07,0.07,0.07,0.07
2005-05-24,0.0,0.07,0.07,0.07,0.07
2005-05-25,0.0,0.07,0.07,0.07,0.07
2005-05-26,0.0,0.07,0.07,0.07,0.07
2005-05-27,0.0,0.07,0.07,0.07,0.07
2005-05-31,0.0,0.07,0.07,0.07,0.07
2005-06-01,0.0,0.07,0.07,0.07,0.07
2005-06-02,0.0,0.07,0.07,0.07,0.07
2005-06-03,0.0,0.07,0.07,0.07,0.07
2005-06-06,0.0,0.07,0.07,0.07,0.07
2005-06-07,0.0,0.07,0.07,0.07,0.07
2005-06-08,0.0,0.07,0.07,0.07,0.07
2005-06-09,0.0,0.07,0.07,0.07,0.07
2005-06-10,0.0,0.07,0.07,0.07,0.07
2005-06-13,0.0,0.07,0.07,0.07,0.07
2005-06-14,0.0,0.07,0.07,0.07,0.07
2005-06-15,0.0,0.07,0.07,0.07,0.07
2005-06-16,0.0,0.07,0.07,0.07,0.07
2005-06-17,0.0,0.07,0.07,0.07,0.07
2005-06-20,0.0,0.07,0.07,0.07,0.07
2005-06-21,0.0,0.07,0.07,0.07,0.07
2005-06-22,0.0,0.07,0.07,0.07,0.07
2005-06-23,0.0,0.07,0.07,0.07,0.07
2005-06-24,0.0,0.07,0.07,0.07,0.07
2005-06-27,33300.0,0.09,0.09,0.09,0.09
2005-06-28,23300.0,0.09,0.09,0.08,0.08
2005-06-29,0.0,0.09,0.09,0.09,0.09
2005-06-30,0.0,0.09,0.09,0.09,0.09
2005-07-01,0.0,0.09,0.09,0.09,0.09
